"STATION","NAME","DATE","TMAX"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-19","83"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-20","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-21","91"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-22","92"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-23","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-24","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-25","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-26","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-27","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-28","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-29","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-30","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-31","100"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-01","100"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-02","100"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-03","102"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-04","102"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-05","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-06","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-07","105"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-08","106"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-09","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-10","102"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-11","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-12","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-13","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-14","100"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-15","88"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-16","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-17","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-18","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-19","99"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-20","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-21","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-22","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-23","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-24","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-25","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-26","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-27","92"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-28","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-29","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-30","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-08-31","100"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-01","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-02","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-03","93"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-04","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-05","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-06","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-07","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-08","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-09","92"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-10","91"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-11","87"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-12","93"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-13","92"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-14","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-15","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-16","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-17","92"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-18","88"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-19","92"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-20","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-21","71"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-22","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-23","81"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-24","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-25","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-26","93"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-27","91"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-28","87"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-29","81"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-09-30","80"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-01","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-02","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-03","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-04","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-05","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-06","63"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-07","77"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-08","84"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-09","84"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-10","84"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-11","85"
